"ISSCAAP","TAXOCODE","X3A_CODE","Scientific_name","English_name","French_name","Spanish_name","Arabic_name","Chinese_name","Russian_name","Author","Family","Order","Stats_data","geometry"
11,"1400201310","BUI","Barbus macrotaenia","Broadband barb","","","","","","Worthington 1933","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201311","BUY","Barbus neumayeri","","","","","","","Fischer 1884","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201314","BUN","Barbus longiceps","","","","","","","Valenciennes 1842","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201315","BSJ","Barbus plebejus","","","","","","","Bonaparte 1839","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201328","BBU","Barbus altianalis","Ripon barbel","","","","","","Boulenger 1900","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201329","BBI","Barbus altidorsalis","","","","","","","Boulenger 1908","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201332","BBK","Barbus callensis","Algerian barb","","","","","","Valenciennes 1842","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201333","BUE","Barbus eurystomus","","","","","","","Keilhack 1908","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201334","BUL","Barbus lineomaculatus","Line-spotted barb","","","","","","Boulenger 1903","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201335","BSN","Barbus unitaeniatus","Slender barb","","","","","","Günther 1866","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201337","BUU","Barbus paludinosus","Straightfin barb","","","","","","Peters 1852","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201338","BSI","Barbus perince","","","","","","","Rüppell 1836","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201340","BSM","Barbus mattozi","Papermouth","","","","","","Guimaraes 1884","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201341","BUQ","Barbus marequensis","Largescale yellowfish","","","","","","Smith 1841","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201343","BST","Barbus trimaculatus","Threespot barb","","","","","","Peters 1852","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201344","BSO","Barbus tropidolepis","","","","","","","Boulenger 1900","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201345","BBZ","Barbus cyclolepis","","","","","","","Heckel 1837","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201401","HON","Chondrostoma nasus","Common nase","Nase commun","Condrostoma común","سمكة شبّوط شائعة","软口鱼","","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201402","HOX","Chondrostoma toxostoma","","","","","","","(Vallot 1837)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201403","HOY","Chondrostoma polylepis","Iberian nase","","","","","","Steindachner 1864","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201404","HOS","Chondrostoma soetta","","","","","","","Bonaparte 1840","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201405","HOG","Chondrostoma genei","","","","","","","(Bonaparte 1839)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201501","AGE","Agosia chrysogaster","Longfin dace","","","","","","Girard 1856","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201601","FCC","Carassius carassius","Crucian carp","Carassin(=Cyprin)","Carpín","","黑鲫","Карась золотой","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201602","CGO","Carassius auratus","Goldfish","Poisson rouge(=Cyprin doré)","Pez rojo","","鲫","Карась  серебряный","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201603","IUV","Carassius cuvieri","Japanese white crucian carp","","","","日本白鲫","","Temminck & Schlegel 1846","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201604","CWG","Carassius gibelio","Prussian carp","Carassin argenté","","","银鲫","","(Bloch 1782)","Cyprinidae","CYPRINIFORMES","YES",""
11,"14002016XX","WDX","Carassius spp","","","","","鲫类","","","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201701","GOG","Gobio gobio","Gudgeon","Goujon","","","","","(Berg 1949)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201702","GOP","Gobio albipinnatus","White-finned gudgeon","","","","","","Lukasch 1933","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201801","FRO","Rutilus rutilus","Roach","Gardon","Rutilo","","拟鲤","Плотва","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201802","RFR","Rutilus frisii","Kutum","","","","","Кутум","(Nordmann 1840)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201803","RTR","Rutilus rubilio","","","","","","","(Bonaparte 1837)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201809","RLA","Rutilus alburnoides","","","","","","","(Steindachner 1866)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201811","RFZ","Rutilus lemmingii","","","Pardilla","","","","(Steindachner 1866)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400201812","RWC","Rutilus caspicus","Caspian roach","","","","","","(Yakovlev 1870)","Cyprinidae","CYPRINIFORMES","YES",""
11,"14002018XX","FRX","Rutilus spp","Roaches nei","Gardons nca","Rutilos nep","","","","","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400201901","SRE","Scardinius erythrophthalmus","Rudd","Rotengle","Escardinio","","","Красноперка","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202001","FID","Leuciscus idus","Orfe(=Ide)","Ide mélanote","Cachuelo","بُرعان أبيض","圆腹雅罗鱼","Язь","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202003","LUC","Leuciscus cephaloides","","","","","","","Battalgil 1942","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202005","FIE","Leuciscus leuciscus","Common dace","Vandoise","Leucisco","فاندوازة","雅罗鱼","","(Linnaeus 1758)","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202006","LUY","Leuciscus borysthenicus","Dnieper chub","","","","","","(Kessler 1859)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202009","LUP","Leuciscus polylepis","","","","","","","(Steindachner 1866)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202010","LUR","Leuciscus pyrenaicus","","","","","","","Günther 1868","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202012","VLS","Leuciscus schmidti","Schmidt's dace","","","","","Чебак иссык-кульский","(Herzenstein 1896)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202013","VLB","Leuciscus bergi","Issyk-Kul dace","","","","","Чебачек иссык-кульский","Kashkarov 1925","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202014","JNE","Leuciscus baicalensis","Siberian dace","","","","贝加尔雅罗鱼","","(Dybowski 1874)","Cyprinidae","CYPRINIFORMES","NO",""
11,"14002020XX","LEW","Leuciscus spp","Chubs nei","","","","","","","Cyprinidae","CYPRINIFORMES","YES",""
11,"1400202101","RHM","Rhodeus amarus","","","","","","","(Bloch 1782)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202102","ROO","Rhodeus ocellatus","Rosy bitterling","","","","","","Kner 1866","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202103","ROR","Rhodeus sericeus","Bitterling","","","","","","(Pallas 1776)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202301","TBT","Tribolodon taczanowskii","","","","","","","(Steindachner 1881)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202302","TFZ","Tribolodon hakonensis","Big-scaled redfin","","","","","","(Günther 1877)","Cyprinidae","CYPRINIFORMES","NO",""
11,"1400202303","ZTB","Tribolodon brandtii","Far Eastern ide","","","","","","(Dybowski 1872)","Cyprinidae","CYPRINIFORMES","NO",""
